VERSION,2,DATE,20160111
食品餐飲,中式料理,海鮮餐廳,iPeen,99AC01
食品餐飲,中式料理,山產野菜餐廳,iPeen,99AC02
食品餐飲,中式料理,北京菜,iPeen,99AC03
食品餐飲,中式料理,客家菜,iPeen,99AC04
食品餐飲,中式料理,四川菜,iPeen,99AC05
食品餐飲,中式料理,湘菜（湖南菜）,iPeen,99AC06
食品餐飲,中式料理,台菜,iPeen,99AC07
食品餐飲,中式料理,上海菜（江浙菜）,iPeen,99AC08
食品餐飲,中式料理,粵菜 & 港式飲茶,iPeen,99AC09
食品餐飲,中式料理,麵食點心,iPeen,99AC10
食品餐飲,中式料理,熱炒、快炒,iPeen,99AC12
食品餐飲,中式料理,台灣原住民料理,iPeen,99AC13
食品餐飲,中式料理,新疆菜,iPeen,99AC14
食品餐飲,中式料理,西藏菜,iPeen,99AC15
食品餐飲,中式料理,雲南菜,iPeen,99AC16
食品餐飲,中式料理,眷村菜,iPeen,99AC17
食品餐飲,中式料理,其他中式料理,iPeen,99AC11
食品餐飲,日式料理,居酒屋,iPeen,99BC01
食品餐飲,日式料理,綜合日式料理,iPeen,99BC02
食品餐飲,日式料理,日式麵食專賣,iPeen,99BC03
食品餐飲,日式料理,生魚片、壽司專賣,iPeen,99BC04
食品餐飲,日式料理,日式豬排專賣,iPeen,99BC05
食品餐飲,日式料理,文字燒、大阪燒,iPeen,99BC06
食品餐飲,日式料理,懷石料理,iPeen,99BC07
食品餐飲,日式料理,其他日式料理,iPeen,99BC08
食品餐飲,亞洲料理,韓式料理,iPeen,99CC01
食品餐飲,亞洲料理,泰式料理,iPeen,99CC02
食品餐飲,亞洲料理,越南料理,iPeen,99CC03
食品餐飲,亞洲料理,緬甸料理,iPeen,99CC04
食品餐飲,亞洲料理,綜合南洋料理,iPeen,99CC05
食品餐飲,亞洲料理,印尼料理,iPeen,99CC06
食品餐飲,亞洲料理,土耳其料理,iPeen,99CC07
食品餐飲,亞洲料理,澳門美食,iPeen,99CC08
食品餐飲,亞洲料理,星馬料理,iPeen,99CC09
食品餐飲,亞洲料理,印度料理,iPeen,99CC10
食品餐飲,亞洲料理,中東料理,iPeen,99CC11
食品餐飲,亞洲料理,其他亞洲料理,iPeen,99CC12
食品餐飲,異國料理,法式料理,iPeen,99DC01
食品餐飲,異國料理,美式料理,iPeen,99DC02
食品餐飲,異國料理,義式料理,iPeen,99DC03
食品餐飲,異國料理,德式料理,iPeen,99DC04
食品餐飲,異國料理,非洲料理,iPeen,99DC06
食品餐飲,異國料理,葡萄牙料理,iPeen,99DC07
食品餐飲,異國料理,俄羅斯料理,iPeen,99DC08
食品餐飲,異國料理,比利時料理,iPeen,99DC09
食品餐飲,異國料理,愛爾蘭料理,iPeen,99DC10
食品餐飲,異國料理,紐澳料理,iPeen,99DC11
食品餐飲,異國料理,英式料理,iPeen,99DC12
食品餐飲,異國料理,墨西哥料理,iPeen,99DC13
食品餐飲,異國料理,西班牙料理,iPeen,99DC14
食品餐飲,異國料理,北歐料理,iPeen,99DC15
食品餐飲,異國料理,希臘料理,iPeen,99DC16
食品餐飲,異國料理,其他異國料理,iPeen,99DC05
食品餐飲,燒烤類,炭烤串燒,iPeen,99EC01
食品餐飲,燒烤類,鐵板燒,iPeen,99EC02
食品餐飲,燒烤類,蒙古烤肉,iPeen,99EC03
食品餐飲,燒烤類,日式燒肉,iPeen,99EC04
食品餐飲,燒烤類,韓式燒肉,iPeen,99EC05
食品餐飲,燒烤類,火烤兩吃,iPeen,99EC06
食品餐飲,鍋類,麻辣火鍋,iPeen,99FC01
食品餐飲,鍋類,羊肉爐,iPeen,99FC03
食品餐飲,鍋類,薑母鴨,iPeen,99FC04
食品餐飲,鍋類,石頭火鍋,iPeen,99FC05
食品餐飲,鍋類,壽喜燒,iPeen,99FC06
食品餐飲,鍋類,涮涮鍋,iPeen,99FC07
食品餐飲,鍋類,其他鍋類,iPeen,99FC02
食品餐飲,咖啡、簡餐、茶,咖啡專賣,iPeen,99GC01
食品餐飲,咖啡、簡餐、茶,複合式,iPeen,99GC02
食品餐飲,咖啡、簡餐、茶,茶專賣,iPeen,99GC03
食品餐飲,素食,小吃,iPeen,99HC01
食品餐飲,素食,中式,iPeen,99HC02
食品餐飲,素食,西式,iPeen,99HC03
食品餐飲,速食料理,漢堡炸雞,iPeen,99IC01
食品餐飲,速食料理,披薩,iPeen,99IC02
食品餐飲,速食料理,其他速食,iPeen,99IC03
食品餐飲,主題特色餐廳,酒吧Lounge Bar,iPeen,99JC01
食品餐飲,主題特色餐廳,啤酒屋,iPeen,99JC02
食品餐飲,主題特色餐廳,現場演奏餐廳,iPeen,99JC03
食品餐飲,主題特色餐廳,食補藥膳餐廳,iPeen,99JC04
食品餐飲,主題特色餐廳,景觀餐廳,iPeen,99JC05
食品餐飲,主題特色餐廳,寵物餐廳,iPeen,99JC06
食品餐飲,主題特色餐廳,懷舊餐廳,iPeen,99JC07
食品餐飲,主題特色餐廳,情境主題餐廳,iPeen,99JC08
食品餐飲,主題特色餐廳,運動主題餐廳,iPeen,99JC09
食品餐飲,主題特色餐廳,溫泉餐廳,iPeen,99JC11
食品餐飲,主題特色餐廳,動漫主題餐廳,iPeen,99JC12
食品餐飲,主題特色餐廳,養生蔬食餐廳,iPeen,99JC13
食品餐飲,主題特色餐廳,其他主題餐廳,iPeen,99JC10
食品餐飲,早餐,中式早餐,iPeen,99KC02
食品餐飲,早餐,西式早餐,iPeen,99KC03
食品餐飲,早餐,其他類型早餐,iPeen,99KC01
食品餐飲,buffet自助餐,中式,iPeen,99LC02
食品餐飲,buffet自助餐,日式,iPeen,99LC03
食品餐飲,buffet自助餐,西式,iPeen,99LC04
食品餐飲,buffet自助餐,複合式,iPeen,99LC05
食品餐飲,buffet自助餐,其他類型buffet自助餐,iPeen,99LC01
食品餐飲,小吃,鹹酥雞、炸雞排,iPeen,99MC02
食品餐飲,小吃,筒仔米糕,iPeen,99MC03
食品餐飲,小吃,藥燉排骨,iPeen,99MC04
食品餐飲,小吃,焢肉飯,iPeen,99MC05
食品餐飲,小吃,豬血糕,iPeen,99MC06
食品餐飲,小吃,鵝肉,iPeen,99MC07
食品餐飲,小吃,肉粽,iPeen,99MC08
食品餐飲,小吃,四神湯,iPeen,99MC09
食品餐飲,小吃,滷肉飯,iPeen,99MC10
食品餐飲,小吃,滷味,iPeen,99MC11
食品餐飲,小吃,鹹水雞,iPeen,99MC12
食品餐飲,小吃,胡椒餅,iPeen,99MC13
食品餐飲,小吃,米粉湯,iPeen,99MC14
食品餐飲,小吃,蚵仔煎,iPeen,99MC15
食品餐飲,小吃,臭豆腐,iPeen,99MC16
食品餐飲,小吃,水煎包、生煎包,iPeen,99MC17
食品餐飲,小吃,麵攤、麵店,iPeen,99MC18
食品餐飲,小吃,肉圓,iPeen,99MC19
食品餐飲,小吃,蔥油餅、蔥抓餅,iPeen,99MC20
食品餐飲,小吃,刈包,iPeen,99MC21
食品餐飲,小吃,麵線,iPeen,99MC22
食品餐飲,小吃,棺材板,iPeen,99MC23
食品餐飲,小吃,其他小吃,iPeen,99MC01
食品餐飲,冰品、飲料、甜湯,現打果汁,iPeen,99NC01
食品餐飲,冰品、飲料、甜湯,冰淇淋,iPeen,99NC02
食品餐飲,冰品、飲料、甜湯,飲料專賣店,iPeen,99NC03
食品餐飲,冰品、飲料、甜湯,剉冰、豆花,iPeen,99NC04
食品餐飲,冰品、飲料、甜湯,甜品、甜湯,iPeen,99NC05
食品餐飲,烘焙、甜點、零食,休閒零食,iPeen,99OC01
食品餐飲,烘焙、甜點、零食,西點烘焙、麵包,iPeen,99OC02
食品餐飲,烘焙、甜點、零食,巧克力專賣,iPeen,99OC03
食品餐飲,烘焙、甜點、零食,中式糕餅,iPeen,99OC04
食品餐飲,其他美食,自助餐、便當,iPeen,99PC01
食品餐飲,其他美食,量販店熟食部,iPeen,99PC03
食品餐飲,其他美食,其他美食,iPeen,99PC02
公用事業,瓦斯服務,瓦斯服務,CHYP,01AC00
公用事業,電力服務,電力服務,CHYP,01FC00
公用事業,自來水服務,自來水服務,CHYP,01CC00
公用事業,郵政服務,郵政服務,CHYP,01EC00
公用事業,石油服務,石油服務,CHYP,01BC00
公用事業,電信通信服務,電信服務,CHYP,01GC01
公用事業,電信通信服務,電信服務-行動通信網路,CHYP,01GC02
公用事業,電信通信服務,電信服務-固定通信網路,CHYP,01GC03
公用事業,氣象服務,氣象服務,CHYP,01DC00
衣著配件,成衣,成衣-買賣,CHYP,03EC03
衣著配件,成衣,羽毛衣,CHYP,03EC02
衣著配件,成衣,皮衣-零售,CHYP,03EC04
衣著配件,內衣睡衣,女士內衣-零售,CHYP,03GC01
衣著配件,內衣睡衣,內衣褲-零售,CHYP,03GC02
衣著配件,洗衣服務,洗衣業,CHYP,03TC01
衣著配件,衣服縫製及修改,女裝訂作縫製,CHYP,03PC01
衣著配件,衣服縫製及修改,衣服修改,CHYP,03PC02
衣著配件,衣服縫製及修改,男裝西服縫製,CHYP,03PC03
衣著配件,皮件行李箱,手提袋-零售,CHYP,03RC01
衣著配件,皮件行李箱,皮件-零售,CHYP,03RC04
衣著配件,皮件行李箱,行李箱、行李袋-零售,CHYP,03RC06
衣著配件,雨具,雨衣及雨具-零售,CHYP,03SC01
衣著配件,孕婦服裝,孕婦服裝及用品-零售,CHYP,03HC01
衣著配件,童裝及嬰幼兒食用品,童裝-零售,CHYP,03IC01
衣著配件,童裝及嬰幼兒食用品,嬰兒用品-零售,CHYP,03IC02
衣著配件,婚紗禮服,結婚服務及用品,CHYP,03JC01
衣著配件,婚紗禮服,結婚禮服及配件,CHYP,03JC02
衣著配件,婚紗禮服,結婚顧問,CHYP,03JC04
衣著配件,特殊服裝,舞蹈服裝及用品,CHYP,03LC02
衣著配件,特殊服裝,戲劇服裝,CHYP,03LC03
衣著配件,穿著配件,襪-零售,CHYP,03NC03
衣著配件,鞋,鞋-零售,CHYP,03OC03
衣著配件,布行,布行,CHYP,03AC00
衣著配件,男士服裝,男士衣著-零售,CHYP,03BC01
衣著配件,女士服裝,女士衣著-零售,CHYP,03CC01
衣著配件,女士服裝,少女衣著-零售,CHYP,03CC02
衣著配件,流行品牌,衣著-代理、經銷,CHYP,03DC02
衣著配件,流行品牌,衣著-國內名牌,CHYP,03DC03
衣著配件,流行品牌,皮件-代理、經銷,CHYP,03DC01
衣著配件,流行品牌,童裝-代理、經銷,CHYP,03DC04
衣著配件,流行品牌,鞋-代理、經銷,CHYP,03DC05
衣著配件,運動休閒服,運動服、休閒服-零售,CHYP,03KC01
衣著配件,運動休閒服,牛仔服飾-零售,CHYP,03KC02
住屋居家,家具賣場,家具賣場,CHYP,04MC00
住屋居家,家具燈飾,家具-古董,CHYP,04NC05
住屋居家,家具燈飾,家具-休閒,CHYP,04NC06
住屋居家,家具燈飾,家具-買賣,CHYP,04NC07
住屋居家,家具燈飾,家具-維修,CHYP,04NC08
住屋居家,家具燈飾,家具設計,CHYP,04NC02
住屋居家,家具燈飾,家具裝飾物,CHYP,04NC03
住屋居家,家具燈飾,燈飾-零售,CHYP,04NC10
住屋居家,家飾寢具,窗簾幔幕-零售及訂製,CHYP,04OC03
住屋居家,家飾寢具,寢具-零售,CHYP,04OC04
住屋居家,家飾寢具,地毯-買賣,CHYP,04OC01
住屋居家,保全消防,安全設備及用品-買賣,CHYP,04LC01
住屋居家,保全消防,保全服務,CHYP,04LC03
住屋居家,保全消防,消防器材-買賣,CHYP,04LC05
住屋居家,公寓大廈管理,公寓大廈管理,CHYP,04KC00
住屋居家,衛浴設備及用品,熱水器-買賣,CHYP,04HC01
住屋居家,衛浴設備及用品,衛浴用品,CHYP,04HC02
住屋居家,衛浴設備及用品,衛浴設備-買賣,CHYP,04HC03
住屋居家,廚具爐具,廚房用具-零售,CHYP,04IC04
住屋居家,廚具爐具,廚房設備及用品-零售,CHYP,04IC05
住屋居家,水電空調工程,水電工程,CHYP,04EC01
住屋居家,水電空調工程,水電修理,CHYP,04EC02
住屋居家,防水理水工程,防水測漏工程,CHYP,04GC02
住屋居家,裝潢工程,地板工程,CHYP,04DC01
住屋居家,裝潢工程,油漆工程,CHYP,04DC05
住屋居家,裝潢工程,室內設計,CHYP,04DC06
住屋居家,裝潢工程,玻璃鑲裝服務,CHYP,04DC07
住屋居家,裝潢工程,裝潢,CHYP,04DC08
住屋居家,裝潢工程,疊蓆、紙門,CHYP,04DC11
住屋居家,電梯升降設備,電梯、升降機維修,CHYP,04JC01
住屋居家,園藝,花店,CHYP,04PC01
住屋居家,園藝,花圃、苗圃,CHYP,04PC02
住屋居家,園藝,園藝工程,CHYP,04PC06
住屋居家,園藝,園藝設計,CHYP,04PC07
住屋居家,園藝,園藝業,CHYP,04PC08
住屋居家,園藝,園藝器具及用品,CHYP,04PC09
住屋居家,建築材料,門窗定製,CHYP,04BC01
住屋居家,建築材料,建築材料-買賣,CHYP,04BC02
住屋居家,營建工程,土木包工業,CHYP,04AC01
住屋居家,營建工程,拆除工程,CHYP,04AC02
行車運輸,計程車服務,計程車業,CHYP,05NC02
行車運輸,計程車服務,無線電計程車,CHYP,05NC03
行車運輸,快捷及快遞服務,快捷及快遞服務,CHYP,05OC00
行車運輸,租車服務,汽車出租,CHYP,05MC02
行車運輸,租車服務,貨車出租,CHYP,05MC03
行車運輸,租車服務,遊覽車出租,CHYP,05MC04
行車運輸,租車服務,機車、越野機車-出租,CHYP,05MC05
行車運輸,加油站及設備,加油站,CHYP,05GC01
行車運輸,停車場及設備,停車場,CHYP,05HC01
行車運輸,汽車拖吊服務,汽車拖吊服務,CHYP,05IC00
行車運輸,搬家及搬運服務,搬家服務-汽車貨運業,CHYP,05DC01
行車運輸,公路監理,公路監理,CHYP,05FC00
行車運輸,客運服務,大眾捷運,CHYP,05BC01
行車運輸,客運服務,公共汽車,CHYP,05BC02
行車運輸,客運服務,火車站,CHYP,05BC04
行車運輸,客運服務,客運業,CHYP,05BC05
行車運輸,客運服務,鐵路業,CHYP,05BC07
行車運輸,貨運服務,限時貨運,CHYP,05CC01
行車運輸,航空及機場服務,航空地勤服務,CHYP,05AC02
行車運輸,航空及機場服務,航空業,CHYP,05AC04
行車運輸,汽車,汽車冷氣空調服務及修理,CHYP,05PC05
行車運輸,汽車,汽車板金及烤漆,CHYP,05PC08
行車運輸,汽車,汽車維修服務,CHYP,05PC17
行車運輸,汽車,汽車引擎修理,CHYP,05PC03
行車運輸,汽車,汽車百貨,CHYP,05PC04
行車運輸,汽車,汽車美容、洗車、拋光,CHYP,05PC10
行車運輸,汽車,汽車音響-零售及修理,CHYP,05PC11
行車運輸,汽車,汽車買賣-新,CHYP,05PC12
行車運輸,汽車,汽車買賣-舊,CHYP,05PC13
行車運輸,汽車,汽車零配件及材料,CHYP,05PC14
行車運輸,汽車,汽車電機修理,CHYP,05PC15
行車運輸,汽車,汽車檢驗服務,CHYP,05PC16
行車運輸,自行車機車,自行車-買賣及修理,CHYP,05QC01
行車運輸,自行車機車,機車、越野機車-零售及修理,CHYP,05QC05
行車運輸,自行車機車,機車、越野機車零配件及材料-零售,CHYP,05QC04
行車運輸,輪胎,輪胎-修補,CHYP,05RC02
行車運輸,輪胎,輪胎-買賣及經銷,CHYP,05RC04
育才學術,學校,學校-小學,CHYP,06BC02
育才學術,學校,學校-幼稚園、托兒所,CHYP,06BC03
育才學術,學校,學校-國中,CHYP,06BC05
育才學術,學校,學校-高中、高職,CHYP,06BC04
育才學術,學校,學校-專科,CHYP,06BC06
育才學術,學校,學校-大學,CHYP,06BC01
育才學術,學校,學校-補校、函授,CHYP,06BC07
育才學術,補習教育,補習班,CHYP,06CC01
育才學術,補習教育,補習班-才藝,CHYP,06CC02
育才學術,補習教育,補習班-升學,CHYP,06CC03
育才學術,補習教育,補習班-美容、美髮,CHYP,06CC05
育才學術,補習教育,補習班-音樂,CHYP,06CC06
育才學術,補習教育,補習班-專技,CHYP,06CC07
育才學術,補習教育,補習班-服裝設計及製作,CHYP,06CC04
育才學術,補習教育,補習班-瑜伽,CHYP,06CC10
育才學術,補習教育,補習班-電腦,CHYP,06CC11
育才學術,補習教育,補習班-舞蹈,CHYP,06CC12
育才學術,補習教育,補習班-語文,CHYP,06CC13
育才學術,安親班,安親班,CHYP,06EC00
育才學術,駕訓班,駕訓班,CHYP,06FC00
育才學術,留學服務,留學服務,CHYP,06GC00
育才學術,訓練,訓練課程,CHYP,06DC01
育才學術,訓練,訓練課程-潛能開發,CHYP,06DC02
